name,segment,start_date,end_date,observations,ic_mean,ic_ir,long_short_mean,turnover_mean,net_long_short_mean
baseline_value_ep_bp,train,2020-01-02,2020-12-31,912158,0.02410399765261332,0.1997942319233352,0.0007135849093319961,0.0950362224469086,0.0006185486868850873
baseline_value_ep_bp,oos,2021-01-04,2021-12-31,958573,0.035563430659196725,0.29669942441602515,0.003009584598203281,0.10299358727611245,0.002906591010927168
baseline_quality_roe,train,2020-01-02,2020-12-31,912234,0.025640921638664695,0.2691157750007868,0.0027950169297509763,0.05918446730970996,0.002735832462441266
baseline_quality_roe,oos,2021-01-04,2021-12-31,958677,-0.017899947988360223,-0.17355124367615637,-0.003247346907143956,0.07214324510319634,-0.0033194901522471524
baseline_momentum_20d,train,2020-01-02,2020-12-31,833569,-0.03357217644249629,-0.28995674184009257,-0.0012076609635138262,0.6765778945663893,-0.001884238858080216
baseline_momentum_20d,oos,2021-01-04,2021-12-31,960478,-0.030514985526967377,-0.2141713107546942,-0.0010269532512325289,0.6798865936018551,-0.0017068398448343842
baseline_low_volatility_20d,train,2020-01-02,2020-12-31,833569,0.07363386916026625,0.46301043444584505,0.004346893132598395,0.2778950655332127,0.004068998067065182
baseline_low_volatility_20d,oos,2021-01-04,2021-12-31,960478,0.07949189406687558,0.6035345680035598,0.004497021566385302,0.26042270997100825,0.004236598856414293
baseline_liquidity_turnover,train,2020-01-02,2020-12-31,911994,0.070143956660983,0.44847765125746114,0.005377267325573811,0.8572262573901294,0.004520041068183681
baseline_liquidity_turnover,oos,2021-01-04,2021-12-31,966784,0.0662389644072477,0.5045518608367251,0.003951333609759181,0.8798507991305135,0.0030714828106286687
